Sex;Autonomous Communities;Measurements and percentiles;Periodo;Total
Both genders;National Total;Average;2024;29.540,26
Both genders;National Total;Average;2023;28.049,94
Both genders;National Total;Average;2022;26.948,87
Both genders;National Total;Average;2021;25.896,82
Both genders;National Total;Average;2020;25.165,51
Both genders;National Total;Average;2019;24.395,98
Both genders;National Total;Average;2018;24.009,12
Both genders;National Total;Average;2017;23.646,5
Both genders;National Total;Average;2016;23.156,34
Both genders;National Total;Average;2015;23.106,3
Both genders;National Total;Average;2014;22.858,17
Both genders;National Total;Average;2013;22.697,86
Both genders;National Total;Average;2012;22.726,44
Both genders;National Total;Average;2011;22.899,35
Both genders;National Total;Average;2010;22.790,2
Both genders;National Total;Average;2009;22.511,47
Both genders;National Total;Average;2008;21.883,42
Both genders;National Total;10th Percentile;2024;12.018,46
Both genders;National Total;10th Percentile;2023;11.466,88
Both genders;National Total;10th Percentile;2022;10.657,37
Both genders;National Total;10th Percentile;2021;10.192,38
Both genders;National Total;10th Percentile;2020;9.586,51
Both genders;National Total;10th Percentile;2019;8.943,26
Both genders;National Total;10th Percentile;2018;8.457,36
Both genders;National Total;10th Percentile;2017;8.583,81
Both genders;National Total;10th Percentile;2016;8.095,44
Both genders;National Total;10th Percentile;2015;7.962,45
Both genders;National Total;10th Percentile;2014;7.626,2
Both genders;National Total;10th Percentile;2013;7.692,3
Both genders;National Total;10th Percentile;2012;7.979,4
Both genders;National Total;10th Percentile;2011;8.402,15
Both genders;National Total;10th Percentile;2010;8.643,66
Both genders;National Total;10th Percentile;2009;8.723,15
Both genders;National Total;10th Percentile;2008;8.903,52
Both genders;National Total;25th Percentile;2024;17.457,47
Both genders;National Total;25th Percentile;2023;16.632,97
Both genders;National Total;25th Percentile;2022;15.913,52
Both genders;National Total;25th Percentile;2021;15.215,03
Both genders;National Total;25th Percentile;2020;14.641,96
Both genders;National Total;25th Percentile;2019;14.271,06
Both genders;National Total;25th Percentile;2018;13.998,29
Both genders;National Total;25th Percentile;2017;13.897,22
Both genders;National Total;25th Percentile;2016;13.369,74
Both genders;National Total;25th Percentile;2015;13.414,92
Both genders;National Total;25th Percentile;2014;13.217,84
Both genders;National Total;25th Percentile;2013;13.039,36
Both genders;National Total;25th Percentile;2012;13.369,45
Both genders;National Total;25th Percentile;2011;13.553,97
Both genders;National Total;25th Percentile;2010;13.602,53
Both genders;National Total;25th Percentile;2009;13.587,26
Both genders;National Total;25th Percentile;2008;13.342,53
Both genders;National Total;50th Percentile;2024;24.497,17
